id;distancia;velocidad;costo;paths;factor_trafico
35069059;2.8126955000000002;30.0;0.0036060192307692312;[28796818, 34188401, 34188463, 34188651, 35069061, 39359907, 39362385, 39363408, 42339768, 64222860, 64222862, 68170893, 68170895, 68170896, 68170898, 68170901, 90289359, 90289362, 90289733, 90289734, 151303100, 151303459, 151303460, 151303461, 151303462, 151306537];1
35069061;0.0513326;30.0;0.0017111;[34188401, 35069059, 35069062];4
35069062;2.7913801;60.0;0.0022153809523809526;[28796823, 34113508, 34113660, 34188372, 34188373, 35069061, 35580357, 35600934, 35600983, 35600989, 35601044, 35601096, 35601212, 35893162, 40268776, 40268798, 64222866, 111936566, 149295918, 149297907, 149324431, 171581232];1
35069333;0.5568924;40.0;0.00278446;[24252801, 42211168, 42213129, 118632350, 172600383, 238678796];1
35069336;0.5656892;40.0;0.0020203142857142856;[34090005, 34109953, 34109995, 35069337, 38945937, 38946019, 127873581, 243435803, 243435807];2
35069337;0.5189958;40.0;0.00324375;[35069336, 35069338, 35339004, 38945937, 111895969, 111917343];1
35069338;0.3485804;40.0;0.0029048333333333335;[35069337, 35339004, 35339017, 111917343, 111923494];1
35069362;0.1871141;40.0;0.0046779;[34188297, 111959734, 111960260];1
35090735;0.3581875;60.0;0.0029849;[35090737, 35090743, 158617347, 158617355];1
35090736;0.3671103;60.0;0.0015296250000000002;[35090737, 111922766, 111927398, 158617344, 158617347];2
35090737;0.2267713;60.0;0.0006299166666666668;[35090735, 35090736, 35090738, 35090742, 35090743, 35090744, 39318050];5
35090738;1.5603600999999998;60.0;0.002889566666666667;[35090737, 35090744, 35090749, 39318102, 39318151, 111898442, 160698064, 160698068];1
35090742;1.5513949;60.0;0.0018469142857142856;[35090737, 35090749, 39318102, 39318151, 39318153, 39318157, 111902019, 111922015, 111922128, 111922948, 111944042, 111967881, 160443519];1
35090743;0.4143855;60.0;0.0017266;[35090735, 35090737, 35090744, 35090747, 36980540, 89905603, 143762702];1
35090744;0.4131552;60.0;0.0022953;[35090737, 35090738, 35090743, 35090747, 111883677, 143762702];1
35090747;3.2455678;60.0;0.003005155555555556;[35090743, 35090744, 35090750, 37568386, 111909103, 111920693, 111934159, 111940770, 111951072, 111966621, 143917084, 143917122, 143917134, 143917139, 160698084];1
35090749;0.2619825;40.0;0.0010915833333333335;[35090738, 35090742, 35090750, 39317183, 39317211, 143917122];4
35090750;0.4734893;60.0;0.00394575;[35090747, 35090749, 111961180];0
35090789;2.3745571;60.0;0.002198661111111111;[36980540, 37019350, 37019356, 37019365, 37019389, 37019649, 37019789, 37019798, 37019799, 37019800, 37567464, 111913372, 143762702, 200004045];1
35101887;0.7649146;60.0;0.0015935875;[24305428, 34861547, 156136702];2
35101892;0.14511039999999997;40.0;0.0012092333333333333;[24305428, 111882109, 129897451, 134920923];4
35102258;0.8363817;40.0;0.0017424666666666668;[34861547, 35102260, 35102262, 35102263, 35102265, 35102266, 35102268, 39441400, 119996447];3
35102260;0.320808;40.0;0.0026734;[35102258, 119996447];1
35102262;0.29666570000000003;40.0;0.0024722;[35102258, 119996447];2
35102263;0.3679217;40.0;0.0030660000000000006;[35102258, 119996447, 156136702];1
35102265;0.3405794;40.0;0.0021286;[35102258, 35102267, 111903891, 119996447];2
35102266;0.3146677;40.0;0.00196665;[35102258, 35102267, 111903891, 111919331, 111969037, 119996447];2
